Rhf (mm),Lm (mm),Lpc (mm),H (mm),K,Uave_dia (mm/s),Uave_per (mm/s),c0_dia (mol/m^3),c0_mem (mol/m3),Concentration (mol/m^3),(c0_dia - c)/c0_dia * 100 (1)
Only Rhf varried,,,,,,,,,,
0.1,0.05,0.2,21,0.5,0.5,0.8,1000,0,139.07,-86.093
0.175,0.05,0.2,21,0.5,0.5,0.8,1000,0,261.71,-73.829
0.25,0.05,0.2,21,0.5,0.5,0.8,1000,0,398.91,-60.109
0.325,0.05,0.2,21,0.5,0.5,0.8,1000,0,502.72,-49.728
0.4,0.05,0.2,21,0.5,0.5,0.8,1000,0,575.07,-42.493
0.7,0.05,0.2,21,0.5,0.5,0.8,1000,0,716,-28.4
1,0.05,0.2,21,0.5,0.5,0.8,1000,0,776.72,-22.328
1.5,0.05,0.2,21,0.5,0.5,0.8,1000,0,829.12,-17.088
2.5,0.05,0.2,21,0.5,0.5,0.8,1000,0,877.91,-12.209
5,0.05,0.2,21,0.5,0.5,0.8,1000,0,922.82,-7.7179
7,0.05,0.2,21,0.5,0.5,0.8,1000,0,937.94,-6.2057
10,0.05,0.2,21,0.5,0.5,0.8,1000,0,950.44,-4.9561
ONlY C0_dia Varied,,,,,,,,,,
0.1,0.05,0.2,21,0.5,0.5,0.8,500,0,154.99,69.001
0.1,0.05,0.2,21,0.5,0.5,0.8,600,0,192.2,67.967
0.1,0.05,0.2,21,0.5,0.5,0.8,700,0,239.65,65.765
0.1,0.05,0.2,21,0.5,0.5,0.8,800,0,247.53,69.059
0.1,0.05,0.2,21,0.5,0.5,0.8,900,0,-84481,9486.8
0.1,0.05,0.2,21,0.5,0.5,0.8,750,0,1694,-125.86
0.1,0.05,0.2,21,0.5,0.5,0.8,650,0,594.56,8.5285
0.1,0.05,0.2,21,0.5,0.5,0.8,750,0,231.5,69.133
0.1,0.05,0.2,21,0.5,0.5,0.8,850,0,-972.77,214.44
ONLY Uave_dia varried,,,,,,,,,,
0.1,0.05,0.2,21,0.5,0.3,0.8,1000,0,986.35,1.365
0.1,0.05,0.2,21,0.5,0.475,0.8,1000,0,989.97,1.0034
0.1,0.05,0.2,21,0.5,0.65,0.8,1000,0,991.89,0.8113
0.1,0.05,0.2,21,0.5,0.825,0.8,1000,0,993.11,0.68921
0.1,0.05,0.2,21,0.5,1,0.8,1000,0,993.96,0.60357
0.1,0.05,0.2,21,0.5,1.25,0.8,1000,0,994.84,0.51641
0.1,0.05,0.2,21,0.5,1.5,0.8,1000,0,995.46,0.45414
0.1,0.05,0.2,21,0.5,2,0.8,1000,0,996.3,0.37003
0.1,0.05,0.2,21,0.5,2.5,0.8,1000,0,996.85,0.31488
0.1,0.05,0.2,21,0.5,3,0.8,1000,0,997.25,0.27533
ONLY Lm Varried,,,,,,,,,,
0.1,0.05,0.2,21,0.5,0.5,0.8,1000,0,292.34,70.766
0.1,0.0875,0.2,21,0.5,0.5,0.8,1000,0,314.3,68.57
0.1,0.125,0.2,21,0.5,0.5,0.8,1000,0,334.97,66.503
0.1,0.1625,0.2,21,0.5,0.5,0.8,1000,0,354.02,64.598
0.1,0.2,0.2,21,0.5,0.5,0.8,1000,0,371.39,62.861
0.1,0.4,0.2,21,0.5,0.5,0.8,1000,0,441.37,55.863
0.1,0.6,0.2,21,0.5,0.5,0.8,1000,0,486.68,51.332
0.1,0.8,0.2,21,0.5,0.5,0.8,1000,0,518.56,48.144
0.1,1,0.2,21,0.5,0.5,0.8,1000,0,542.41,45.759
0.1,1.5,0.2,21,0.5,0.5,0.8,1000,0,582.66,41.734
0.1,3,0.2,21,0.5,0.5,0.8,1000,0,639.56,36.044
Only K varried,,,,,,,,,,
0.1,0.05,0.2,21,0.5,0.5,0.8,1000,0,342.31,65.769
0.1,0.05,0.2,21,0.75,0.5,0.8,1000,0,304.57,69.543
0.1,0.05,0.2,21,1,0.5,0.8,1000,0,285.67,71.433
0.1,0.05,0.2,21,1.25,0.5,0.8,1000,0,274.5,72.55
0.1,0.05,0.2,21,1.5,0.5,0.8,1000,0,267.16,73.284
0.1,0.05,0.2,21,1.75,0.5,0.8,1000,0,261.99,73.801
0.1,0.05,0.2,21,2,0.5,0.8,1000,0,258.17,74.183
0.1,0.05,0.2,21,2.5,0.5,0.8,1000,0,252.89,74.711
0.1,0.05,0.2,21,3,0.5,0.8,1000,0,249.42,75.058
0.1,0.05,0.2,21,3.5,0.5,0.8,1000,0,246.98,75.302
0.1,0.05,0.2,21,4,0.5,0.8,1000,0,245.16,75.484
0.1,0.05,0.2,21,4.5,0.5,0.8,1000,0,243.76,75.624
0.1,0.05,0.2,21,5,0.5,0.8,1000,0,242.65,75.735
ONLY Lpc varried,,,,,,,,,,
0.1,0.05,0.2,21,0.5,0.5,0.8,1000,0,317.26,68.274
0.1,0.05,0.3,21,0.5,0.5,0.8,1000,0,307.56,69.244
0.1,0.05,0.4,21,0.5,0.5,0.8,1000,0,309.37,69.063
0.1,0.05,0.5,21,0.5,0.5,0.8,1000,0,312.51,68.749
0.1,0.05,0.6,21,0.5,0.5,0.8,1000,0,315.43,68.457
0.1,0.05,0.8,21,0.5,0.5,0.8,1000,0,320.34,67.966
0.1,0.05,1,21,0.5,0.5,0.8,1000,0,324.25,67.575
0.1,0.05,1.5,21,0.5,0.5,0.8,1000,0,331.31,66.869
0.1,0.05,2,21,0.5,0.5,0.8,1000,0,336.1,66.39
0.1,0.05,4,21,0.5,0.5,0.8,1000,0,346.04,65.396
ONly c0_dia Varries,,,,,,,,,,
0.1,0.05,0.2,21,0.5,0.5,0.8,50,0,15.499,69.001
0.1,0.05,0.2,21,0.5,0.5,0.8,100,0,30.967,69.033
0.1,0.05,0.2,21,0.5,0.5,0.8,150,0,46.408,69.061
0.1,0.05,0.2,21,0.5,0.5,0.8,200,0,26.862,86.569
0.1,0.05,0.2,21,0.5,0.5,0.8,250,0,79.815,68.074
0.1,0.05,0.2,21,0.5,0.5,0.8,300,0,104.07,65.311
0.1,0.05,0.2,21,0.5,0.5,0.8,350,0,108.46,69.01
0.1,0.05,0.2,21,0.5,0.5,0.8,400,0,45.327,88.668
0.1,0.05,0.2,21,0.5,0.5,0.8,450,0,177.77,60.495
